Player           Team PS GP  Min  FGM  FGA  3M  3A FTM  FTA  OR   TR   AS  ST  TO  BK  PF  DQ   PTS  TC  EJ  FF Sta +/-
butler,john_jr    tot PF 25  285   32   85  15  49   3    4   4   21   19  12   6   9  27   0    82   0   0   0   2  -71
cain,jamal        mia SF 17  230   37   66   7  20  17   22  15   52   12  11   6   1  21   0    98   0   0   0   0   22
caldwell-pope,k   den SG 76 2341  292  632 135 319 103  125  35  208  183 112  86  35 145   0   822   0   0   0  76  493
campazzo,facund   dal PG  7   48    3   13   3  11   1    2   0    2    9   6   3   0   3   0    10   0   0   0   0   11
cancar,vlatko     den SF 60  859  108  227  43 115  38   41  24  128   80  22  37  14  84   0   297   0   0   0   9  -66
capela,clint      atl  C 65 1702  350  536   0   1  79  131 257  716   58  45  54  79 139   0   779   0   0   0  63  -30
carey,vernon      was  C 11   23    2    8   0   0   2    2   3   11    3   2   2   2   5   0     6   0   0   0   0  -10
carter,jevon      mil PG 81 1771  239  565 142 336  31   38  35  202  197  66  79  30 158   1   651   0   0   0  39   62
carter,wendell    orl  C 57 1657  322  613  80 226 144  195 120  497  132  30 106  33 159   4   868   0   0   0  54  -41
caruso,alex       chi SG 67 1541  130  286  55 151  59   73  42  196  193  97  77  45 159   1   374   0   0   0  36  197
champagnie,juli   bos SF  2   22    2   12   1   5   0    0   2    4    3   1   0   0   1   0     5   0   0   0   0   -2
champagnie,juli   phi SF  2    6    0    2   0   1   0    0   0    0    0   1   0   0   0   0     0   0   0   0   0   -4
champagnie,juli   san SF 15  305   59  128  33  81  14   17  10   60   10   5  11   5  26   0   165   0   0   0   3  -69
champagnie,juli   tot SF 19  333   61  142  34  87  14   17  12   64   13   7  11   5  27   0   170   0   0   0   3  -75
champagnie,just   tor SF  3   10    3    3   0   0   0    0   1    4    1   0   0   0   1   0     6   0   0   0   0   -2
chandler,kenned   mem PG 36  265   35   83   2  15   6   13   9   38   58  12  18   5  15   0    78   0   0   0   0  -41
christie,max      lal SG 40  492   44  106  26  62  14   16   7   75   21   9  12   7  33   0   128   0   0   0   3  -77
christopher,jos   hou SG 64  759  153  329  21  89  45   60  20   71   73  33  60  15  59   0   372   0   0   0   2 -225
clarke,brandon    mem PF 56 1059  229  349   1   6  99  137  92  310   72  35  55  37 131   0   558   0   0   0   8  -14
clarkson,jordan   uta PG 61 1957  458 1031 155 459 200  245  72  246  270  33 186  13 120   1  1271   0   0   0  61   35
claxton,nic       bro PF 76 2235  414  587   0   2 133  246 184  702  144  64  96 189 212   2   961   0   0   0  76  119
coffey,amir       lac SG 50  604   56  145  11  40  49   63  17   53   53   7  21   5  50   1   172   0   0   0   9 -114
collins,john      atl PF 71 2094  359  707  70 240 143  178  77  462   85  42  79  73 220   6   931   0   0   0  71  -21
collins,zach      san PF 63 1411  284  548  55 147 108  142 117  402  180  38 129  49 199   7   731   0   0   0  26 -239
comanche,chance   por  C  1   20    3    5   0   0   1    4   2    3    0   0   0   1   0   0     7   0   0   0   0  -29
conley,mike       min PG 24  741  108  235  58 138  63   73  16   75  120  29  29   4  45   1   337   0   0   0  24   32
